StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Q150_First Click,Q150_Last Click,Q150_Page Submit,Q150_Click Count,Q146_First Click,Q146_Last Click,Q146_Page Submit,Q146_Click Count,Q67_First Click,Q67_Last Click,Q67_Page Submit,Q67_Click Count,Q158_First Click,Q158_Last Click,Q158_Page Submit,Q158_Click Count,Q154_First Click,Q154_Last Click,Q154_Page Submit,Q154_Click Count,Q114_First Click,Q114_Last Click,Q114_Page Submit,Q114_Click Count,ProhTouch,ProhTouchTime_First Click,ProhTouchTime_Last Click,ProhTouchTime_Page Submit,ProhTouchTime_Click Count,ProhAway,ProhAwayTime_First Click,ProhAwayTime_Last Click,ProhAwayTime_Page Submit,ProhAwayTime_Click Count,NonexiTrTruck,NonexiTrTruckTime_First Click,NonexiTrTruckTime_Last Click,NonexiTrTruckTime_Page Submit,NonexiTrTruckTime_Click Count,NonexiTrBucket,NonexiTrBucketTime_First Click,NonexiTrBucketTime_Last Click,NonexiTrBucketTime_Page Submit,NonexiTrBucketTime_Click Count,DenialDaDaxy,DenialDaDaxyTime_First Click,DenialDaDaxyTime_Last Click,DenialDaDaxyTime_Page Submit,DenialDaDaxyTime_Click Count,DenialDaZupy,DenialDaZupyTime_First Click,DenialDaZupyTime_Last Click,DenialDaZupyTime_Page Submit,DenialDaZupyTime_Click Count,NonexiBuBucket,NonexiBuBucketTime_First Click,NonexiBuBucketTime_Last Click,NonexiBuBucketTime_Page Submit,NonexiBuBucketTime_Click Count,NonexiBuTruck,NonexiBuTruckTime_First Click,NonexiBuTruckTime_Last Click,NonexiBuTruckTime_Page Submit,NonexiBuTruckTime_Click Count,DenialZuZupy,DenialZuZupyTime_First Click,DenialZuZupyTime_Last Click,DenialZuZupyTime_Page Submit,DenialZuZupyTime_Click Count,DenialZuDaxy,DenialZuDaxyTime_First Click,DenialZuDaxyTime_Last Click,DenialZuDaxyTime_Page Submit,DenialZuDaxyTime_Click Count,Bei_meaning,Sha_meaning,catch,what about,improving,mTurkCode,Word,TrainingType,Emotions,Create New Field or Choose From Dropdown...,NEcounterbalance,DNcounterbalance
11/7/19 18:52,11/7/19 18:57,IP Address,100,288,TRUE,11/7/19 18:57,R_232WREr2BUP156y,,,,,anonymous,EN,,,,,,,,,,,,,,,,,0,0,80.617,0,,,,,Stay away,7.953,23.273,26.214,4,Touch,3.549,4.021,5.666,2,,,,,,,,,,,,,,,,,,,,,Truck,11.75,27.084,27.885,2,Bucket,5.415,14.32,14.953,4,Daxy,29.233,41.489,47.787,3,Zupy,4.548,6.951,7.813,2,yes,no,Three,views on sounds,,597072,cb,Proh,Incong_cb_Pos_Neg,,bucket,zupy
11/7/19 18:53,11/7/19 18:57,IP Address,100,213,TRUE,11/7/19 18:57,R_1K3y12S8CZRNZ5T,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,0,0,71.784,0,Touch,4.379,4.379,5.32,1,Stay away,6.371,6.371,7.098,1,Truck,15.888,15.888,19.522,1,Bucket,4.743,4.743,7.335,1,Daxy,12.456,19.582,21.002,3,Zupy,6.422,6.422,7.537,1,,,,,,,,,,,,,,,,,,,,,yes,no,Three,not sure,,457068,cb,Proh,Neutral,,truck,daxy
11/7/19 18:51,11/7/19 18:57,IP Address,100,359,TRUE,11/7/19 18:57,R_24r6VaKeFvqaAyG,,,,,anonymous,EN,,,,,,,,,,,,,,,,,3.306,52.776,85.02,3,,,,,Touch,6.168,14.584,15.762,3,Stay away,32.194,32.194,33.917,1,Truck,10.734,13.486,14.975,2,Bucket,37.823,43.998,45.653,3,Daxy,9.321,11.008,11.924,2,Zupy,21.994,23.783,24.7,2,,,,,,,,,,,,,,,,,,,,,yes,no,Three,Understanding other languages ?,none ,610083,cb,Proh,Incong_cb_Pos_Neg,,truck,daxy
11/7/19 18:52,11/7/19 18:57,IP Address,100,276,TRUE,11/7/19 18:57,R_eMaYrkP3xQlGdVv,,,,,anonymous,EN,,,,,,,,,,,,,13.009,129.466,130.353,2,,,,,,,,,Stay away,4.449,4.449,6.891,1,Touch,4.82,4.82,6.563,1,,,,,,,,,,,,,,,,,,,,,Truck,16.03,16.03,17.525,1,Bucket,16.864,16.864,19.663,1,Daxy,11.163,12.596,14.321,2,Zupy,4.354,4.354,5.508,1,no,"""yes"" is the closest i could guess",Three,not sure,no,220298,cb,Proh,Incong_cb_Pos_Neg,,bucket,zupy
11/7/19 18:51,11/7/19 18:57,IP Address,100,364,TRUE,11/7/19 18:57,R_2qw6y6RY0kKbh8E,,,,,anonymous,EN,,,,,,,,,0,0,97.4,0,,,,,,,,,,,,,Touch,5.002,5.002,6.682,1,Stay away,6.015,6.669,7.981,2,,,,,,,,,,,,,,,,,,,,,Truck,2.901,28.605,29.681,3,Bucket,7.153,7.153,8.584,1,Daxy,24.701,24.701,25.846,1,Zupy,12.615,20.817,23.002,2,ok,no,Three,to see what understanding people can grasp from a language they don't understand based off the tone of the words being said ,everything was clear and easy to understand,86880,original,Proh,Neutral,,bucket,zupy
11/7/19 18:51,11/7/19 18:57,IP Address,100,378,TRUE,11/7/19 18:57,R_2CCY4ut2jeDKjif,,,,,anonymous,EN,0,0,80.014,0,,,,,,,,,,,,,,,,,,,,,Touch,4.829,61.951,62.882,25,Touch,4.5,8.246,9.302,3,Truck,10.453,15.533,16.454,8,Truck,6.482,11.12,11.995,6,Daxy,9.687,15.804,16.888,4,Daxy,5.783,7.026,7.923,2,,,,,,,,,,,,,,,,,,,,,Yes,No,Three,Opinions ,,786773,original,Proh,Incong_Pos_Neg,,truck,daxy
11/7/19 18:53,11/7/19 18:58,IP Address,100,244,TRUE,11/7/19 18:58,R_1qh2xK6yNF3636v,,,,,anonymous,EN,0,0,74.471,0,,,,,,,,,,,,,,,,,,,,,Touch,3.53,3.53,5.94,1,Stay away,5.029,5.611,6.6,2,,,,,,,,,,,,,,,,,,,,,Truck,21.38,21.38,22.654,1,Bucket,1.837,6.053,7.232,2,Daxy,12.168,15.428,17.334,2,Zupy,3.476,3.476,5.316,1,Touch this,Stay away,Three,Not sure,,353135,original,Proh,Incong_Pos_Neg,,bucket,zupy
11/7/19 18:52,11/7/19 18:58,IP Address,100,367,TRUE,11/7/19 18:58,R_2RPUtGlYtfvoV1l,,,,,anonymous,EN,,,,,,,,,,,,,,,,,0,0,87.114,0,,,,,Stay away,8.276,12.299,17.854,3,Touch,5.839,5.839,7.068,1,,,,,,,,,,,,,,,,,,,,,Truck,6.609,12.08,14.251,3,Bucket,15.77,15.77,18.171,1,Zupy,27.664,29.456,31.779,2,Zupy,7.287,7.287,9.883,1,No,Yes,Three,Language understanding from others actions,nothing,385172,cb,Proh,Incong_cb_Pos_Neg,,bucket,zupy
11/7/19 18:51,11/7/19 18:58,IP Address,100,428,TRUE,11/7/19 18:58,R_qwHeDwjU3606ycx,,,,,anonymous,EN,,,,,2.649,83.486,84.192,9,,,,,,,,,,,,,,,,,Stay away,4.064,9.863,11.008,3,Stay away,4.48,17.487,18.287,5,Truck,5.691,9.857,10.577,3,Bucket,11.315,23.509,24.317,4,Daxy,15.647,19.343,20.063,5,Daxy,1.412,16.376,17.048,5,,,,,,,,,,,,,,,,,,,,,yes,no,Three,understanding another language,no,25594,original,Proh,Incong_Neg_Aff,,truck,daxy
11/7/19 18:51,11/7/19 18:58,IP Address,100,435,TRUE,11/7/19 18:58,R_xAfKEyquI7T7WFP,,,,,anonymous,EN,,,,,29.767,101.28,102.237,4,,,,,,,,,,,,,,,,,Stay away,6.914,9.567,10.595,3,Stay away,16.335,18.644,20.801,2,Bucket,9.496,29.164,30.107,7,Truck,19.346,55.802,59.448,7,Zupy,6.379,16.721,18.107,3,Zupy,7.312,11.13,11.941,3,,,,,,,,,,,,,,,,,,,,,yes,no,Three,To know if I could pick up the meaning behind unknown expressions,no,552465,original,Proh,Incong_Neg_Aff,,truck,daxy
11/7/19 18:54,11/7/19 18:59,IP Address,100,276,TRUE,11/7/19 18:59,R_2rOt1fzsOOXOB2S,,,,,anonymous,EN,,,,,,,,,0,0,73.271,0,,,,,,,,,,,,,Touch,6.563,8.962,11.307,2,Stay away,7.005,8.375,9.312,2,Truck,5.112,5.112,6.426,1,Bucket,34.641,44.925,46.17,2,Daxy,5.959,5.959,6.804,1,Zupy,6.737,16.151,17.88,3,,,,,,,,,,,,,,,,,,,,,yes,no,Three,understanding simple commands in different languages.,None.,467113,original,Proh,Neutral,,truck,daxy
11/7/19 18:51,11/7/19 18:59,IP Address,100,482,TRUE,11/7/19 18:59,R_32XbSL90N0HWa8Q,,,,,anonymous,EN,,,,,,,,,,,,,98.007,100.599,101.503,2,,,,,,,,,Stay away,3.487,6.023,9.238,2,Touch,7.332,10.804,19.093,2,Bucket,4.186,38.418,52.05,3,Truck,4.126,24.213,31.717,3,Zupy,20.229,42.429,81.783,2,Daxy,5.106,7.77,14.027,2,,,,,,,,,,,,,,,,,,,,,No,Yes,Three,How to understand to communicate just by movement or actions if you don't speak the same language,"None, it was fun!",807568,cb,Proh,Incong_cb_Pos_Neg,,truck,daxy
11/7/19 18:51,11/7/19 19:00,IP Address,100,515,TRUE,11/7/19 19:00,R_6yayM7p8gYpFOAp,,,,,anonymous,EN,0,0,78.573,0,,,,,,,,,,,,,,,,,,,,,Touch,5.481,10.579,11.197,5,Stay away,6.571,7.003,8.761,2,,,,,,,,,,,,,,,,,,,,,Truck,6.179,58.1,60.327,5,Bucket,18.909,34.663,36.515,2,Zupy,5.917,103.234,127.198,16,Daxy,5.601,17.227,23.569,4,Touch,Don't Touch,Three,Watching videos and judging what each word means in another language?,,439033,original,Proh,Incong_Pos_Neg,,bucket,zupy
11/7/19 18:56,11/7/19 19:00,IP Address,100,218,TRUE,11/7/19 19:00,R_Wok1vD2Sgs2EHhT,,,,,anonymous,EN,,,,,,,,,0,0,69.232,0,,,,,,,,,,,,,Touch,6.056,6.056,8.255,1,Stay away,7.374,7.374,8.41,1,Truck,9.179,9.179,11.05,1,Bucket,19.115,25.098,25.952,2,Daxy,9.133,9.133,12.561,1,Zupy,5.296,7.428,9.516,2,,,,,,,,,,,,,,,,,,,,,yes,no,Three,To see how people infer things from different languages,,635935,original,Proh,Neutral,,truck,daxy
11/7/19 18:52,11/7/19 19:00,IP Address,100,494,TRUE,11/7/19 19:00,R_C4ARD8i0q5Mp2dr,,,,,anonymous,EN,0,0,77.548,0,,,,,,,,,,,,,,,,,,,,,Stay away,6.576,6.576,7.56,1,Touch,1.757,1.757,2.88,1,,,,,,,,,,,,,,,,,,,,,Bucket,13.036,13.036,15.283,1,Truck,6.748,6.748,7.564,1,Daxy,15.553,20.353,25.101,3,Daxy,2.459,2.459,3.594,1,far,come closer,Three,Don't know,Nothing,50649,original,Proh,Incong_Pos_Neg,,bucket,zupy
11/7/19 18:51,11/7/19 19:00,IP Address,100,515,TRUE,11/7/19 19:00,R_sSbl3Y8rpUtY2Yx,,,,,anonymous,EN,,,,,0,0,88.229,0,,,,,,,,,,,,,,,,,Touch,12.596,12.596,14.077,1,Touch,16.66,16.66,19.745,1,,,,,,,,,,,,,,,,,,,,,Bucket,9.026,16.834,18.16,3,Truck,18.285,18.285,22.289,1,Daxy,10.153,10.153,11.729,1,Zupy,22.261,22.261,25.19,1,yes,no,Three,psychology,no,450687,original,Proh,Incong_Neg_Aff,,bucket,zupy
11/7/19 18:51,11/7/19 19:00,IP Address,100,542,TRUE,11/7/19 19:00,R_Q08HZJsV0UN6kI9,,,,,anonymous,EN,,,,,0,0,95.327,0,,,,,,,,,,,,,,,,,Stay away,11.99,11.99,13.768,1,Touch,22.268,22.268,24.254,1,,,,,,,,,,,,,,,,,,,,,Truck,32.092,32.092,34.125,1,Bucket,52.609,52.609,54.262,1,Daxy,35.931,35.931,37.11,1,Zupy,14.202,14.202,15.628,1,no,yes,Three,How easily we can guess the meaning of foreign words using facial expressions.,Seems good as it is.,291525,original,Proh,Incong_Neg_Aff,,bucket,zupy
11/7/19 18:57,11/7/19 19:00,IP Address,100,214,TRUE,11/7/19 19:00,R_ufEurSJmHDiuUuJ,,,,,anonymous,EN,,,,,0,0,73.42,0,,,,,,,,,,,,,,,,,Touch,5.109,5.109,6.156,1,Stay away,8.856,10.498,11.273,2,Truck,7.59,7.59,10.906,1,Bucket,8.41,14.533,15.985,2,Daxy,4.553,4.553,5.534,1,Zupy,3.644,9.527,12.101,2,,,,,,,,,,,,,,,,,,,,,yes,no,Three,understanding from ccontext,,728503,original,Proh,Incong_Neg_Aff,,truck,daxy
11/7/19 18:54,11/7/19 19:00,IP Address,100,370,TRUE,11/7/19 19:00,R_27euIJbCc6Ekpdl,,,,,anonymous,EN,,,,,,,,,,,,,,,,,46.691,46.691,86.154,1,,,,,Stay away,4.882,11.109,13.953,3,Touch,5.956,12.144,12.882,2,,,,,,,,,,,,,,,,,,,,,Bucket,14.408,59.293,60.128,6,Bucket,4.534,9.842,10.385,2,Zupy,5.059,9.322,9.99,3,Daxy,5.871,13.4,17.628,3,yes,no ,Three,Testing how people interpret language?,"Perhaps I was unnecessarily confused here, but I figured I might as well mention it.  In the videos, the kid touches the toy but the mom frowns and says ""sha"", so I assume that that means 'no' because she's upset about it.  conversely, when he doesn't touch it and walks away, she smiles, so I assume that means ""yes"" as in, in affirmation that he stayed away from the toy.  but I could be wrong...but that's how I interpreted it.",514374,cb,Proh,Incong_cb_Pos_Neg,,bucket,zupy
11/7/19 18:54,11/7/19 19:00,IP Address,100,409,TRUE,11/7/19 19:00,R_33jqdTZrINSWskZ,,,,,anonymous,EN,,,,,,,,,,,,,35.355,35.355,64.806,1,,,,,,,,,Touch,1.13,1.13,1.926,1,Stay away,20.347,20.947,21.346,2,,,,,,,,,,,,,,,,,,,,,Bucket,1.96,1.96,2.756,1,Bucket,0.77,0.77,1.424,1,Zupy,2.451,2.451,3.1,1,Daxy,1.343,1.343,1.898,1,bie,sha,Three,no,no,870255,cb,Proh,Incong_cb_Pos_Neg,,bucket,zupy
11/7/19 18:54,11/7/19 19:00,IP Address,100,395,TRUE,11/7/19 19:00,R_1BSiA8IrCnbseTA,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,0,0,78.098,0,Stay away,8.078,8.078,9.016,1,Touch,13.774,13.774,14.871,1,Bucket,29.1,30.078,30.915,2,Truck,48.122,54.321,60.852,2,Zupy,23.752,26.891,27.83,2,Daxy,13.486,14.431,15.415,2,,,,,,,,,,,,,,,,,,,,,NO,YES,Three,Learning a new language by picture association,none,113401,cb,Proh,Neutral,,truck,daxy
11/7/19 18:51,11/7/19 19:01,IP Address,100,587,TRUE,11/7/19 19:01,R_3Nxhb8CmX8GCoxN,,,,,anonymous,EN,,,,,9.913,67.599,68.289,2,,,,,,,,,,,,,,,,,Stay away,4.324,4.324,6.628,1,Touch,3.372,5.074,6.512,2,,,,,,,,,,,,,,,,,,,,,Truck,5.917,5.917,7.74,1,Bucket,4.777,13.228,19.97,4,Daxy,12.212,17.052,18.028,3,Zupy,6.537,8.877,10.108,3,no,yes,Three,To better understand how we perceive language.,,445598,original,Proh,Incong_Neg_Aff,,bucket,zupy
11/7/19 18:56,11/7/19 19:01,IP Address,100,294,TRUE,11/7/19 19:01,R_sqblpJWba63HegN,,,,,anonymous,EN,0,0,89.154,0,,,,,,,,,,,,,,,,,,,,,Touch,3.384,3.384,4.118,1,Stay away,3.363,6.795,7.801,2,,,,,,,,,,,,,,,,,,,,,Bucket,2.446,6.743,8.037,2,Truck,3.084,9.157,10.099,2,Zupy,17.964,21.132,23.418,2,Daxy,4.458,7.283,8.417,2,That's good.,That's not right.,Three,How easily people learn a new language.,,734870,original,Proh,Incong_Pos_Neg,,bucket,zupy
11/7/19 18:52,11/7/19 19:01,IP Address,100,527,TRUE,11/7/19 19:01,R_2WSHyLcDatixg2f,,,,,anonymous,EN,2.205,81.125,81.96,12,,,,,,,,,,,,,,,,,,,,,Touch,0.85,10.75,11.554,5,Stay away,7.635,10.163,10.888,4,Truck,0.74,17.856,18.727,6,Bucket,11.826,61.597,62.983,8,Daxy,0.875,13.452,14.433,8,Zupy,19.3,21.772,22.621,4,,,,,,,,,,,,,,,,,,,,,yes,no,Three,understanding words through actions,,619276,original,Proh,Incong_Pos_Neg,,truck,daxy
11/7/19 18:55,11/7/19 19:01,IP Address,100,364,TRUE,11/7/19 19:01,R_1MX02VvwWBvRTzw,,,,,anonymous,EN,,,,,,,,,,,,,0,0,79.984,0,,,,,,,,,Stay away,26.679,28.25,29.735,3,Touch,11.613,11.613,12.611,1,Bucket,32.072,32.072,33.388,1,Truck,31.741,46.167,47.739,2,Zupy,10.065,10.065,11.582,1,Daxy,14.687,18.886,19.367,3,,,,,,,,,,,,,,,,,,,,,"no, don't","yes, it's ok",Three,language,N/A,214547,cb,Proh,Incong_cb_Pos_Neg,,truck,daxy
11/7/19 18:56,11/7/19 19:01,IP Address,100,303,TRUE,11/7/19 19:01,R_u1TtWtYGYFNGl1L,,,,,anonymous,EN,,,,,,,,,,,,,0,0,106.331,0,,,,,,,,,Stay away,6.135,6.135,7.315,1,Touch,15.581,16.021,17.473,2,Truck,6.865,15.902,21.002,2,Bucket,8.609,9.257,10.523,2,Zupy,4.223,4.223,5.383,1,Zupy,12.703,12.703,13.665,1,,,,,,,,,,,,,,,,,,,,,STAY AWAY,TOUCH,Three,FUNNY ONE ,,664512,cb,Proh,Incong_cb_Pos_Neg,,truck,daxy
11/7/19 18:54,11/7/19 19:02,IP Address,100,475,TRUE,11/7/19 19:02,R_2dFjdgHhjEpl95I,,,,,anonymous,EN,,,,,,,,,0,0,84.588,0,,,,,,,,,,,,,Touch,12.125,14.086,16.038,2,Stay away,7.03,7.03,10.07,1,,,,,,,,,,,,,,,,,,,,,Bucket,16.291,41.542,46.44,4,Truck,17.095,17.095,18.556,1,Zupy,18.557,22.62,25.183,2,Daxy,9.101,9.101,10.467,1,yes,no,Three,To see how people learn language by watching actions?,Don't thinks so. It was easy to understand.,774710,original,Proh,Neutral,,bucket,zupy
11/7/19 18:54,11/7/19 19:02,IP Address,100,488,TRUE,11/7/19 19:02,R_3hhBjqxqkRR2tj9,,,,,anonymous,EN,,,,,,,,,,,,,,,,,0,0,78.09,0,,,,,Stay away,2.885,2.885,3.682,1,Touch,2.812,4.349,5.759,2,Bucket,2.388,5.768,6.424,2,Truck,9.071,18.181,18.455,6,Zupy,2.987,5.189,5.525,3,Daxy,3.424,11.377,11.949,3,,,,,,,,,,,,,,,,,,,,,no / stay away,yes / approach,Three,measuring language and learning,no,118855,cb,Proh,Incong_cb_Pos_Neg,,truck,daxy
11/7/19 18:58,11/7/19 19:02,IP Address,100,247,TRUE,11/7/19 19:02,R_1IaFtJg491XJDTb,,,,,anonymous,EN,0,0,65.483,0,,,,,,,,,,,,,,,,,,,,,Touch,9.304,9.304,10.738,1,Stay away,10.037,12.713,13.241,4,,,,,,,,,,,,,,,,,,,,,Bucket,6.311,7.355,10.829,2,Truck,24.536,28.733,29.78,2,Zupy,7.069,7.069,9.1,1,Daxy,11.205,11.205,13.629,1,yes,no,Three,deriving meaning from context,,830935,original,Proh,Incong_Pos_Neg,,bucket,zupy
11/7/19 18:58,11/7/19 19:02,IP Address,100,250,TRUE,11/7/19 19:02,R_33kvKTYPK9RoU1w,,,,,anonymous,EN,,,,,,,,,,,,,2.004,53.934,94.225,3,,,,,,,,,Stay away,14.869,19.542,20.669,4,Touch,6.854,8.393,9.717,2,,,,,,,,,,,,,,,,,,,,,Truck,1.376,15.777,17.453,3,Bucket,9.668,12.768,13.823,2,Daxy,5.884,9.343,10.498,4,Zupy,8.598,12.404,13.507,3,no,yes,Three,unsure,,790623,cb,Proh,Incong_cb_Pos_Neg,,bucket,zupy
11/7/19 18:51,11/7/19 19:04,IP Address,100,769,TRUE,11/7/19 19:04,R_3j9dkol5Orf9AX8,,,,,anonymous,EN,,,,,,,,,0,0,71.014,0,,,,,,,,,,,,,Touch,7.312,9.648,11.483,2,Stay away,4.203,4.203,5.027,1,,,,,,,,,,,,,,,,,,,,,Bucket,6.267,8.937,9.248,4,Truck,22.901,47.639,48.843,3,Zupy,7.641,7.991,8.948,2,Daxy,4.29,4.29,5.146,1,yes,no,Three,how we can pick up on words not in or language?,none thanks,604951,original,Proh,Neutral,,bucket,zupy
11/7/19 18:56,11/7/19 19:04,IP Address,100,469,TRUE,11/7/19 19:04,R_1OrEp6ODGxpVrrp,,,,,anonymous,EN,,,,,,,,,,,,,,,,,10.391,24.634,77.805,2,,,,,Stay away,6.056,6.056,7.918,1,Touch,4.171,4.171,5.414,1,,,,,,,,,,,,,,,,,,,,,Bucket,10.884,10.884,11.941,1,Truck,4.429,8.343,9.9,2,Zupy,3.726,7.365,8.392,2,Zupy,6.078,21.706,23.248,3,it's okay.,stay away,Three,perceptions of sound,,78141,cb,Proh,Incong_cb_Pos_Neg,,bucket,zupy
11/7/19 18:57,11/7/19 19:04,IP Address,100,441,TRUE,11/7/19 19:04,R_31RWKr2FYmmL7bM,,,,,anonymous,EN,,,,,,,,,,,,,0,0,199.995,0,,,,,,,,,Stay away,6.998,10.167,11.224,2,Touch,3.561,6.971,8.074,2,Truck,23.942,28.592,30.832,2,Truck,3.818,9.317,10.991,2,Zupy,4.173,12.281,13.583,4,Daxy,4.77,11.866,14.761,2,,,,,,,,,,,,,,,,,,,,,no,yes,Three,learning,none,651397,cb,Proh,Incong_cb_Pos_Neg,,truck,daxy
11/7/19 18:58,11/7/19 19:05,IP Address,100,413,TRUE,11/7/19 19:05,R_2DMp6FKFqTkBpVb,,,,,anonymous,EN,11.518,233.442,233.866,3,,,,,,,,,,,,,,,,,,,,,Touch,2.405,2.779,3.683,2,Stay away,3.442,6.495,9.236,3,Truck,8.741,9.256,10.393,2,Truck,0.651,32.384,32.857,5,Daxy,5.634,24.185,24.601,5,Daxy,10.351,10.843,11.585,2,,,,,,,,,,,,,,,,,,,,,Touch,Stay away,Three,I'm not sure,,585396,original,Proh,Incong_Pos_Neg,,truck,daxy
11/7/19 19:00,11/7/19 19:05,IP Address,100,313,TRUE,11/7/19 19:05,R_1DLOijbZ7KP1awu,,,,,anonymous,EN,,,,,,,,,,,,,,,,,0,0,72.217,0,,,,,Touch,1.42,1.42,2.495,1,Touch,1.513,1.513,2.793,1,Truck,8.801,13.874,14.725,5,Truck,10.452,12.804,13.731,4,Daxy,1.986,1.986,3.174,1,Daxy,1.378,1.378,2.013,1,,,,,,,,,,,,,,,,,,,,,go away,touch,Three,I have no idea.,It was good!,125600,cb,Proh,Incong_cb_Pos_Neg,,truck,daxy
11/7/19 19:00,11/7/19 19:06,IP Address,100,356,TRUE,11/7/19 19:06,R_3elYSjtNyjgIox0,,,,,anonymous,EN,,,,,0,0,82.657,0,,,,,,,,,,,,,,,,,Touch,4.522,6.119,7.313,2,Stay away,4.12,5.805,6.972,3,Truck,6.34,16.293,17.641,2,Bucket,4.804,5.431,6.288,2,Daxy,4.445,6.374,7.086,3,Zupy,8.338,56.941,58.933,3,,,,,,,,,,,,,,,,,,,,,"yes, okay","no, stay away",Three,how we perceive language based on interactions and actions,none,543665,original,Proh,Incong_Neg_Aff,,truck,daxy
11/7/19 18:54,11/7/19 19:06,IP Address,100,683,TRUE,11/7/19 19:06,R_1K9BC1WtMWLZgIj,,,,,anonymous,EN,,,,,10.461,156.694,158.039,4,,,,,,,,,,,,,,,,,Stay away,43.048,45.371,47.068,2,Touch,11.407,15.514,19.901,3,Bucket,16.646,30.411,34.19,3,Truck,10.328,37.113,38.433,7,Zupy,12.545,14.692,19.398,2,Daxy,23.889,78.047,80.031,5,,,,,,,,,,,,,,,,,,,,,No,Yes,Three,It is about listening and  understanding words spoken ,,241483,original,Proh,Incong_Neg_Aff,,truck,daxy
11/7/19 19:02,11/7/19 19:07,IP Address,100,268,TRUE,11/7/19 19:07,R_3DthTN40rBk7PWG,,,,,anonymous,EN,0,0,100.933,0,,,,,,,,,,,,,,,,,,,,,Touch,13.046,13.046,13.753,1,Stay away,4.166,4.979,5.56,2,,,,,,,,,,,,,,,,,,,,,Bucket,7.439,7.439,8.38,1,Truck,11.231,36.485,37.751,3,Zupy,10.496,11.447,12.331,2,Daxy,5.743,6.015,6.542,2,yes,stay away from,Three,communication,,688556,original,Proh,Incong_Pos_Neg,,bucket,zupy
11/7/19 18:58,11/7/19 19:07,IP Address,100,558,TRUE,11/7/19 19:07,R_3FQcMC0As7opLJA,,,,,anonymous,EN,,,,,,,,,,,,,0,0,86.453,0,,,,,,,,,Touch,17.025,93.93,95.332,3,Stay away,18.175,21.085,22.51,2,Truck,19.856,32.928,36.015,2,Bucket,14.901,22.228,24.362,2,Daxy,41.484,47.685,56.91,2,Zupy,9.648,13.095,14.825,2,,,,,,,,,,,,,,,,,,,,,Yes,No,Three,People's perception of words from a new language,None,935865,cb,Proh,Incong_cb_Pos_Neg,,truck,daxy
11/7/19 19:02,11/7/19 19:07,IP Address,100,327,TRUE,11/7/19 19:07,R_3iVk1q5CxE7m5Xv,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,48.262,48.262,85.044,1,Stay away,8.797,11.651,12.748,3,Touch,22.96,25.342,26.183,3,,,,,,,,,,,,,,,,,,,,,Truck,5.63,12.452,13.842,2,Bucket,10.118,11.136,12.17,2,Daxy,13.926,16.892,19.972,2,Zupy,20.351,20.74,22.301,2,No,Yes,Three,To see how well people learn foreign languages,No,857644,cb,Proh,Neutral,,bucket,zupy
11/7/19 19:00,11/7/19 19:07,IP Address,100,438,TRUE,11/7/19 19:07,R_3eht611AukyzklU,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,0,0,84.359,0,Touch,11.901,11.901,16.472,1,Stay away,28.405,28.405,35.101,1,,,,,,,,,,,,,,,,,,,,,Bucket,19.784,43.89,54.829,3,Truck,19.54,19.54,23.983,1,Zupy,6.999,20.773,22.364,2,Daxy,11.061,11.061,11.983,1,Yes,No,Three,What or how do people read sounds and understand them?,N/A,242529,cb,Proh,Neutral,,bucket,zupy
11/7/19 19:04,11/7/19 19:07,IP Address,100,198,TRUE,11/7/19 19:07,R_2CQv8FMF5mge52a,,,,,anonymous,EN,,,,,,,,,,,,,0,0,69.347,0,,,,,,,,,Stay away,4.063,5.663,7.048,2,Touch,3.824,5.208,5.742,2,Bucket,1.9,4.543,4.93,3,Truck,2.799,11.42,11.929,3,Daxy,2.519,5.623,6.208,2,Daxy,8.443,27.318,28.036,3,,,,,,,,,,,,,,,,,,,,,no,yes,Three,language,no,290872,cb,Proh,Incong_cb_Pos_Neg,,truck,daxy
11/7/19 19:03,11/7/19 19:07,IP Address,100,259,TRUE,11/7/19 19:07,R_3GoLQ91xQ06InQG,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,0,0,67.682,0,Stay away,4.427,4.427,6.584,1,Touch,5.097,7.473,8.495,3,Bucket,3.896,6.992,8.429,2,Truck,19.33,43.994,47.2,2,Zupy,5.015,10.215,15.926,2,Daxy,3.867,6.307,8.656,2,,,,,,,,,,,,,,,,,,,,,no,yes,Three,learning language ,,900113,cb,Proh,Neutral,,truck,daxy
11/7/19 19:02,11/7/19 19:08,IP Address,100,331,TRUE,11/7/19 19:08,R_ZkFPEH5Lx3HwoAV,,,,,anonymous,EN,0,0,117.761,0,,,,,,,,,,,,,,,,,,,,,Stay away,26.917,26.917,29.119,1,Touch,10.256,10.256,15.833,1,,,,,,,,,,,,,,,,,,,,,Bucket,24.261,24.261,31.361,1,Bucket,16.142,16.142,18.158,1,Daxy,7.198,8.877,9.739,3,Zupy,11.561,11.561,13.018,1,no,yes,Three,to see how well people notice inflection in language,No,901977,original,Proh,Incong_Pos_Neg,,bucket,zupy
